TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;059;4309.02;1000;1
Census Block;51;059;4309.02;1001;1
Census Block;51;059;4309.02;1002;1
Census Block;51;059;4309.02;1003;1
Census Block;51;059;4309.02;1004;1
Census Block;51;059;4309.02;1005;1
Census Block;51;059;4309.02;1006;1
Census Block;51;059;4309.02;1007;1
Census Block;51;059;4309.02;2000;1
Census Block;51;059;4309.02;2001;1
Census Block;51;059;4309.02;2002;1
Census Block;51;059;4309.02;2003;1
Census Block;51;059;4309.02;2004;1
Census Block;51;059;4309.02;2005;1
Census Block;51;059;4309.02;2006;1
Census Block;51;059;4309.02;2007;1
Census Block;51;059;4309.02;2008;1
Census Block;51;059;4309.02;2009;1
Census Block;51;059;4309.02;2010;1
Census Block;51;059;4309.02;2011;1
Census Block;51;059;4309.02;2012;1
Census Block;51;059;4310.01;1000;1
Census Block;51;059;4310.01;1001;1
Census Block;51;059;4310.01;1002;1
Census Block;51;059;4310.01;1003;1
Census Block;51;059;4310.01;1004;1
Census Block;51;059;4310.01;1005;1
Census Block;51;059;4310.01;1006;1
Census Block;51;059;4310.01;1007;1
Census Block;51;059;4310.01;1008;1
Census Block;51;059;4310.01;1009;1
Census Block;51;059;4310.01;1010;1
Census Block;51;059;4310.01;1011;1
Census Block;51;059;4310.01;1012;1
Census Block;51;059;4310.01;1013;1
Census Block;51;059;4310.01;2000;1
Census Block;51;059;4310.01;2001;1
Census Block;51;059;4310.01;2002;1
Census Block;51;059;4310.01;2003;1
Census Block;51;059;4310.01;3000;1
Census Block;51;059;4310.01;3001;1
Census Block;51;059;4310.01;3002;1
Census Block;51;059;4310.01;3003;1
Census Block;51;059;4310.01;3004;1
Census Block;51;059;4310.01;3005;1
Census Block;51;059;4310.01;3006;1
Census Block;51;059;4310.01;3007;1
Census Block;51;059;4310.01;3008;1
Census Block;51;059;4310.01;3009;1
Census Block;51;059;4310.01;3010;1
Census Block;51;059;4310.01;3011;1
Census Block;51;059;4310.01;3012;1
Census Block;51;059;4310.02;1000;1
Census Block;51;059;4310.02;1001;1
Census Block;51;059;4310.02;1002;1
Census Block;51;059;4310.02;1003;1
Census Block;51;059;4310.02;1004;1
Census Block;51;059;4310.02;1005;1
Census Block;51;059;4310.02;1006;1
Census Block;51;059;4310.02;1007;1
Census Block;51;059;4310.02;1008;1
Census Block;51;059;4310.02;1009;1
Census Block;51;059;4310.02;1010;1
Census Block;51;059;4310.02;1011;1
Census Block;51;059;4310.02;1012;1
Census Block;51;059;4310.02;1013;1
Census Block;51;059;4313.00;1000;1
Census Block;51;059;4313.00;1001;1
Census Block;51;059;4313.00;1002;1
Census Block;51;059;4313.00;1003;1
Census Block;51;059;4313.00;1004;1
Census Block;51;059;4313.00;1005;1
Census Block;51;059;4313.00;1006;1
Census Block;51;059;4313.00;1007;1
Census Block;51;059;4313.00;1008;1
Census Block;51;059;4313.00;1009;1
Census Block;51;059;4313.00;1010;1
Census Block;51;059;4313.00;1011;1
Census Block;51;059;4313.00;1012;1
Census Block;51;059;4313.00;1013;1
Census Block;51;059;4313.00;2000;1
Census Block;51;059;4313.00;2001;1
Census Block;51;059;4313.00;2002;1
Census Block;51;059;4313.00;2003;1
Census Block;51;059;4313.00;2004;1
Census Block;51;059;4313.00;2005;1
Census Block;51;059;4313.00;2006;1
Census Block;51;059;4313.00;2007;1
Census Block;51;059;4313.00;2008;1
Census Block;51;059;4313.00;2009;1
Census Block;51;059;4313.00;2010;1
Census Block;51;059;4313.00;2011;1
Census Block;51;059;4313.00;2012;1
Census Block;51;059;4313.00;2013;1
Census Block;51;059;4313.00;2014;1
Census Block;51;059;4313.00;2015;1
Census Block;51;059;4313.00;2016;1
Census Block;51;059;4313.00;2017;1
Census Block;51;059;4313.00;2018;1
Census Block;51;059;4313.00;2019;1
Census Block;51;059;4313.00;3000;1
Census Block;51;059;4313.00;3001;1
Census Block;51;059;4313.00;3002;1
Census Block;51;059;4313.00;3003;1
Census Block;51;059;4313.00;3004;1
Census Block;51;059;4313.00;3005;1
Census Block;51;059;4313.00;3006;1
Census Block;51;059;4313.00;3007;1
Census Block;51;059;4313.00;3008;1
Census Block;51;059;4318.01;1000;1
Census Block;51;059;4318.01;1001;1
Census Block;51;059;4318.01;1002;1
Census Block;51;059;4318.01;1003;1
Census Block;51;059;4318.01;1004;1
Census Block;51;059;4318.01;1005;1
Census Block;51;059;4318.01;1007;1
Census Block;51;059;4318.01;2000;1
Census Block;51;059;4318.01;2001;1
Census Block;51;059;4318.01;2002;1
Census Block;51;059;4318.01;2003;1
Census Block;51;059;4318.01;2004;1
Census Block;51;059;4318.01;2005;1
Census Block;51;059;4318.01;2006;1
Census Block;51;059;4318.01;2007;1
Census Block;51;059;4318.01;2008;1
Census Block;51;059;4318.01;2009;1
Census Block;51;059;4318.01;2010;1
Census Block;51;059;4318.01;2011;1
Census Block;51;059;4318.01;2012;1
Census Block;51;059;4318.01;2013;1
Census Block;51;059;4318.01;2014;1
Census Block;51;059;4318.01;2015;1
Census Block;51;059;4318.01;2016;1
Census Block;51;059;4318.01;2017;1
Census Block;51;059;4318.02;1000;1
Census Block;51;059;4318.02;1001;1
Census Block;51;059;4318.02;1002;1
Census Block;51;059;4318.02;1003;1
Census Block;51;059;4318.02;1004;1
Census Block;51;059;4318.02;1005;1
Census Block;51;059;4318.02;1006;1
Census Block;51;059;4318.02;1007;1
