TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;059;4607.01;1000;1
Census Block;51;059;4607.01;1001;1
Census Block;51;059;4607.01;1002;1
Census Block;51;059;4607.01;1003;1
Census Block;51;059;4607.01;1004;1
Census Block;51;059;4607.01;1005;1
Census Block;51;059;4607.01;1006;1
Census Block;51;059;4607.01;1007;1
Census Block;51;059;4607.01;1008;1
Census Block;51;059;4607.01;1009;1
Census Block;51;059;4607.01;1010;1
Census Block;51;059;4607.01;1011;1
Census Block;51;059;4607.01;1012;1
Census Block;51;059;4607.01;1013;1
Census Block;51;059;4607.01;1014;1
Census Block;51;059;4607.01;1015;1
Census Block;51;059;4607.01;1016;1
Census Block;51;059;4607.01;2000;1
Census Block;51;059;4607.01;2001;1
Census Block;51;059;4607.01;2002;1
Census Block;51;059;4607.01;2003;1
Census Block;51;059;4607.01;2004;1
Census Block;51;059;4607.01;2005;1
Census Block;51;059;4607.01;2006;1
Census Block;51;059;4607.01;2007;1
Census Block;51;059;4607.01;2008;1
Census Block;51;059;4607.01;2009;1
Census Block;51;059;4607.01;2010;1
Census Block;51;059;4607.01;2011;1
Census Block;51;059;4607.01;2012;1
Census Block;51;059;4607.01;2013;1
Census Block;51;059;4607.01;2014;1
Census Block;51;059;4607.01;2015;1
Census Block;51;059;4607.01;2016;1
Census Block;51;059;4607.01;2017;1
Census Block;51;059;4607.01;2018;1
Census Block;51;059;4607.01;2019;1
Census Block;51;059;4607.01;2020;1
Census Block;51;059;4607.01;2021;1
Census Block;51;059;4607.01;2022;1
Census Block;51;059;4607.02;1000;1
Census Block;51;059;4607.02;1001;1
Census Block;51;059;4607.02;1002;1
Census Block;51;059;4607.02;1003;1
Census Block;51;059;4607.02;1004;1
Census Block;51;059;4607.02;1005;1
Census Block;51;059;4607.02;1006;1
Census Block;51;059;4607.02;1007;1
Census Block;51;059;4607.02;1008;1
Census Block;51;059;4607.02;1009;1
Census Block;51;059;4607.02;1010;1
Census Block;51;059;4607.02;1011;1
Census Block;51;059;4607.02;1012;1
Census Block;51;059;4607.02;1013;1
Census Block;51;059;4607.02;1014;1
Census Block;51;059;4607.02;1015;1
Census Block;51;059;4607.02;1016;1
Census Block;51;059;4607.02;1017;1
Census Block;51;059;4607.02;1018;1
Census Block;51;059;4607.02;2000;1
Census Block;51;059;4607.02;2001;1
Census Block;51;059;4607.02;2002;1
Census Block;51;059;4607.02;2003;1
Census Block;51;059;4607.02;2004;1
