TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;135;1.00;2003;1
Census Block;51;135;1.00;2006;1
Census Block;51;135;1.00;2008;1
Census Block;51;135;1.00;2009;1
Census Block;51;135;1.00;2010;1
Census Block;51;135;1.00;2011;1
Census Block;51;135;1.00;2012;1
Census Block;51;135;1.00;2017;1
Census Block;51;135;1.00;2021;1
Census Block;51;135;1.00;2022;1
Census Block;51;135;1.00;2023;1
Census Block;51;135;1.00;2024;1
Census Block;51;135;1.00;2025;1
Census Block;51;135;1.00;2026;1
Census Block;51;135;1.00;2027;1
Census Block;51;135;1.00;2028;1
Census Block;51;135;1.00;2029;1
Census Block;51;135;1.00;2030;1
Census Block;51;135;1.00;2031;1
Census Block;51;135;1.00;2032;1
Census Block;51;135;1.00;2033;1
Census Block;51;135;1.00;2034;1
Census Block;51;135;1.00;2035;1
Census Block;51;135;1.00;2036;1
Census Block;51;135;1.00;2037;1
Census Block;51;135;1.00;2038;1
Census Block;51;135;1.00;2042;1
Census Block;51;135;1.00;2043;1
Census Block;51;135;1.00;2044;1
Census Block;51;135;1.00;2045;1
Census Block;51;135;1.00;2046;1
Census Block;51;135;1.00;2049;1
Census Block;51;135;1.00;2050;1
Census Block;51;135;1.00;2051;1
Census Block;51;135;1.00;2052;1
Census Block;51;135;1.00;2053;1
Census Block;51;135;1.00;2054;1
Census Block;51;135;1.00;2055;1
Census Block;51;135;1.00;2056;1
Census Block;51;135;1.00;2057;1
Census Block;51;135;1.00;2058;1
Census Block;51;135;1.00;2059;1
Census Block;51;135;1.00;2060;1
Census Block;51;135;1.00;2061;1
Census Block;51;135;1.00;2062;1
Census Block;51;135;1.00;2063;1
Census Block;51;135;1.00;2064;1
Census Block;51;135;1.00;2065;1
Census Block;51;135;1.00;2066;1
Census Block;51;135;1.00;2067;1
Census Block;51;135;1.00;2068;1
Census Block;51;135;1.00;2069;1
Census Block;51;135;1.00;2070;1
Census Block;51;135;1.00;2071;1
Census Block;51;135;1.00;2072;1
Census Block;51;135;1.00;2073;1
Census Block;51;135;1.00;2074;1
Census Block;51;135;1.00;2075;1
Census Block;51;135;1.00;2076;1
Census Block;51;135;1.00;2077;1
Census Block;51;135;1.00;2078;1
Census Block;51;135;1.00;2079;1
Census Block;51;135;1.00;2080;1
Census Block;51;135;1.00;2081;1
Census Block;51;135;1.00;2082;1
Census Block;51;135;1.00;3005;1
Census Block;51;135;1.00;3006;1
Census Block;51;135;1.00;3007;1
Census Block;51;135;1.00;3009;1
Census Block;51;135;1.00;3010;1
Census Block;51;135;1.00;3011;1
Census Block;51;135;1.00;3012;1
Census Block;51;135;1.00;3013;1
Census Block;51;135;1.00;3014;1
Census Block;51;135;1.00;3015;1
Census Block;51;135;1.00;3016;1
Census Block;51;135;1.00;3017;1
Census Block;51;135;1.00;3018;1
Census Block;51;135;1.00;3019;1
Census Block;51;135;1.00;3020;1
Census Block;51;135;1.00;3021;1
Census Block;51;135;1.00;3022;1
Census Block;51;135;1.00;3023;1
Census Block;51;135;1.00;3024;1
Census Block;51;135;1.00;3025;1
Census Block;51;135;1.00;3026;1
Census Block;51;135;1.00;3027;1
Census Block;51;135;1.00;3028;1
Census Block;51;135;1.00;3029;1
Census Block;51;135;1.00;3030;1
Census Block;51;135;1.00;3031;1
Census Block;51;135;1.00;3032;1
Census Block;51;135;1.00;3033;1
Census Block;51;135;1.00;3034;1
Census Block;51;135;1.00;3035;1
Census Block;51;135;1.00;3036;1
Census Block;51;135;1.00;3037;1
Census Block;51;135;1.00;3038;1
Census Block;51;135;1.00;3039;1
