TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;059;4154.02;1000;1
Census Block;51;059;4154.02;1001;1
Census Block;51;059;4154.02;1002;1
Census Block;51;059;4154.02;1003;1
Census Block;51;059;4154.02;1004;1
Census Block;51;059;4154.02;1005;1
Census Block;51;059;4154.02;1006;1
Census Block;51;059;4154.02;1007;1
Census Block;51;059;4154.02;1008;1
Census Block;51;059;4154.02;1009;1
Census Block;51;059;4154.02;1010;1
Census Block;51;059;4154.02;1011;1
Census Block;51;059;4154.02;1012;1
Census Block;51;059;4154.02;2000;1
Census Block;51;059;4154.02;2001;1
Census Block;51;059;4154.02;2002;1
Census Block;51;059;4154.02;2003;1
Census Block;51;059;4154.02;2004;1
Census Block;51;059;4154.02;2005;1
Census Block;51;059;4154.02;2006;1
Census Block;51;059;4155.00;1000;1
Census Block;51;059;4155.00;1001;1
Census Block;51;059;4155.00;1002;1
Census Block;51;059;4155.00;1003;1
Census Block;51;059;4155.00;1004;1
Census Block;51;059;4155.00;1005;1
Census Block;51;059;4155.00;1006;1
Census Block;51;059;4155.00;1007;1
Census Block;51;059;4155.00;1008;1
Census Block;51;059;4155.00;1009;1
Census Block;51;059;4155.00;1010;1
Census Block;51;059;4155.00;1011;1
Census Block;51;059;4155.00;1012;1
Census Block;51;059;4155.00;1013;1
Census Block;51;059;4155.00;1014;1
Census Block;51;059;4155.00;1015;1
Census Block;51;059;4155.00;1016;1
Census Block;51;059;4155.00;1017;1
Census Block;51;059;4155.00;1018;1
Census Block;51;059;4155.00;1019;1
Census Block;51;059;4155.00;1020;1
Census Block;51;059;4155.00;1021;1
Census Block;51;059;4155.00;2000;1
Census Block;51;059;4155.00;2001;1
Census Block;51;059;4155.00;2002;1
Census Block;51;059;4155.00;2003;1
Census Block;51;059;4155.00;2004;1
Census Block;51;059;4155.00;2005;1
Census Block;51;059;4155.00;2006;1
Census Block;51;059;4155.00;2007;1
Census Block;51;059;4155.00;2008;1
Census Block;51;059;4155.00;2009;1
Census Block;51;059;4155.00;2010;1
Census Block;51;059;4155.00;2011;1
Census Block;51;059;4155.00;2012;1
Census Block;51;059;4155.00;2013;1
Census Block;51;059;4155.00;2014;1
Census Block;51;059;4155.00;2015;1
Census Block;51;059;4155.00;2016;1
Census Block;51;059;4155.00;2017;1
Census Block;51;059;4155.00;2018;1
Census Block;51;059;4155.00;3012;1
Census Block;51;059;4155.00;3013;1
Census Block;51;059;4155.00;3014;1
Census Block;51;059;4155.00;3015;1
Census Block;51;059;4155.00;3016;1
Census Block;51;059;4155.00;3017;1
Census Block;51;059;4155.00;3018;1
Census Block;51;059;4155.00;3019;1
Census Block;51;059;4155.00;3020;1
Census Block;51;059;4156.00;1000;1
Census Block;51;059;4156.00;1001;1
Census Block;51;059;4156.00;1002;1
Census Block;51;059;4156.00;1003;1
Census Block;51;059;4156.00;1004;1
Census Block;51;059;4156.00;1005;1
Census Block;51;059;4156.00;1006;1
Census Block;51;059;4156.00;1007;1
Census Block;51;059;4156.00;1008;1
Census Block;51;059;4156.00;1009;1
Census Block;51;059;4156.00;1010;1
Census Block;51;059;4156.00;1011;1
Census Block;51;059;4156.00;1012;1
Census Block;51;059;4156.00;1013;1
Census Block;51;059;4156.00;1014;1
Census Block;51;059;4156.00;1015;1
Census Block;51;059;4156.00;1016;1
Census Block;51;059;4156.00;1017;1
Census Block;51;059;4156.00;1018;1
Census Block;51;059;4156.00;1019;1
Census Block;51;059;4156.00;1020;1
Census Block;51;059;4156.00;1021;1
Census Block;51;059;4156.00;1022;1
Census Block;51;059;4156.00;1023;1
Census Block;51;059;4156.00;2000;1
Census Block;51;059;4156.00;2001;1
Census Block;51;059;4156.00;2002;1
Census Block;51;059;4156.00;2003;1
Census Block;51;059;4156.00;2004;1
Census Block;51;059;4156.00;2005;1
Census Block;51;059;4156.00;2006;1
Census Block;51;059;4156.00;2007;1
Census Block;51;059;4156.00;2008;1
Census Block;51;059;4156.00;2009;1
Census Block;51;059;4156.00;2010;1
Census Block;51;059;4156.00;2011;1
Census Block;51;059;4156.00;2012;1
Census Block;51;059;4156.00;2013;1
Census Block;51;059;4156.00;2014;1
Census Block;51;059;4156.00;2015;1
Census Block;51;059;4156.00;2016;1
Census Block;51;059;4156.00;2017;1
Census Block;51;059;4156.00;2018;1
Census Block;51;059;4156.00;2019;1
Census Block;51;059;4156.00;2020;1
Census Block;51;059;4156.00;2021;1
Census Block;51;059;4156.00;2022;1
