TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;059;4222.01;2012;1
Census Block;51;059;4326.00;1000;1
Census Block;51;059;4326.00;1001;1
Census Block;51;059;4326.00;1004;1
Census Block;51;059;4326.00;1005;1
Census Block;51;059;4326.00;1006;1
Census Block;51;059;4326.00;1007;1
Census Block;51;059;4326.00;1008;1
Census Block;51;059;4326.00;1009;1
Census Block;51;059;4326.00;1010;1
Census Block;51;059;4326.00;1011;1
Census Block;51;059;4326.00;1012;1
Census Block;51;059;4326.00;1013;1
Census Block;51;059;4326.00;1014;1
Census Block;51;059;4326.00;1015;1
Census Block;51;059;4326.00;1016;1
Census Block;51;059;4326.00;1017;1
Census Block;51;059;4326.00;1018;1
Census Block;51;059;4326.00;1019;1
Census Block;51;059;4326.00;1020;1
Census Block;51;059;4326.00;1021;1
Census Block;51;059;4326.00;1022;1
Census Block;51;059;4326.00;1023;1
Census Block;51;059;4326.00;2000;1
Census Block;51;059;4326.00;2001;1
Census Block;51;059;4326.00;2008;1
Census Block;51;059;4326.00;2009;1
Census Block;51;059;4326.00;2010;1
Census Block;51;059;4326.00;2011;1
Census Block;51;059;4326.00;2012;1
Census Block;51;059;4326.00;2013;1
Census Block;51;059;4326.00;2014;1
Census Block;51;059;4326.00;2015;1
Census Block;51;059;4326.00;2016;1
Census Block;51;059;4326.00;2017;1
Census Block;51;059;4326.00;2018;1
Census Block;51;059;4326.00;2019;1
Census Block;51;059;4326.00;2020;1
Census Block;51;059;4326.00;2021;1
Census Block;51;059;4326.00;2022;1
Census Block;51;059;4326.00;2023;1
Census Block;51;059;4327.02;1014;1
Census Block;51;059;4327.02;1015;1
Census Block;51;059;4923.00;1000;1
Census Block;51;059;4923.00;1001;1
Census Block;51;059;4923.00;1002;1
Census Block;51;059;4923.00;1003;1
Census Block;51;059;4923.00;1004;1
Census Block;51;059;4923.00;1005;1
Census Block;51;059;4923.00;1006;1
Census Block;51;059;4923.00;1007;1
Census Block;51;059;4923.00;1008;1
Census Block;51;059;4923.00;2000;1
Census Block;51;059;4923.00;2001;1
Census Block;51;059;4923.00;2002;1
Census Block;51;059;4923.00;2003;1
Census Block;51;059;4923.00;2004;1
Census Block;51;059;4923.00;2005;1
Census Block;51;059;4923.00;2006;1
Census Block;51;059;4923.00;2007;1
Census Block;51;059;4923.00;2008;1
Census Block;51;059;4923.00;2009;1
Census Block;51;059;4923.00;2010;1
Census Block;51;059;4923.00;2011;1
Census Block;51;059;4923.00;2012;1
Census Block;51;059;4923.00;2013;1
Census Block;51;059;4923.00;2014;1
Census Block;51;059;4923.00;2015;1
Census Block;51;059;4923.00;2016;1
Census Block;51;059;4923.00;2017;1
Census Block;51;059;4923.00;2018;1
Census Block;51;059;4923.00;2019;1
Census Block;51;059;4923.00;2020;1
Census Block;51;059;4924.00;1000;1
Census Block;51;059;4924.00;1001;1
Census Block;51;059;4924.00;1002;1
Census Block;51;059;4924.00;1003;1
Census Block;51;059;4924.00;1004;1
Census Block;51;059;4924.00;1005;1
Census Block;51;059;4924.00;1006;1
Census Block;51;059;4924.00;1007;1
Census Block;51;059;4924.00;1008;1
Census Block;51;059;4924.00;1009;1
Census Block;51;059;4924.00;1010;1
Census Block;51;059;4924.00;1011;1
Census Block;51;059;4924.00;1012;1
Census Block;51;059;4924.00;1013;1
Census Block;51;059;4924.00;2000;1
Census Block;51;059;4924.00;2001;1
Census Block;51;059;4924.00;2002;1
Census Block;51;059;4924.00;2003;1
Census Block;51;059;4924.00;2004;1
Census Block;51;059;4924.00;2005;1
Census Block;51;059;4924.00;2006;1
Census Block;51;059;4924.00;2007;1
Census Block;51;059;4924.00;2008;1
Census Block;51;059;4924.00;2009;1
Census Block;51;059;4924.00;2010;1
Census Block;51;059;4924.00;2011;1
Census Block;51;059;4924.00;2012;1
Census Block;51;059;4924.00;2013;1
Census Block;51;059;4924.00;2014;1
Census Block;51;059;4924.00;2015;1
Census Block;51;059;4924.00;2016;1
Census Block;51;059;4924.00;2017;1
Census Block;51;059;4924.00;2018;1
